cellline,concentration,viability
DLD1,-3.3979400086720375,1.031
DLD1,-2.9208187539523753,1.018
DLD1,-2.431798275933005,0.998
DLD1,-1.958607314841775,0.939
DLD1,-1.4685210829577449,0.797
DLD1,-1.0,0.517
DLD1,-0.5228787452803376,0.4
DLD1,-3.853871964321762,1.036
DLD1,-3.3979400086720375,0.957
DLD1,-2.9208187539523753,1.053
DLD1,-2.431798275933005,1.028
DLD1,-1.958607314841775,0.899
DLD1,-1.4685210829577449,0.832
DLD1,-1.0,0.606
DLD1,-0.5228787452803376,0.159
EFM192B,-3.853871964321762,0.993
EFM192B,-3.3979400086720375,0.832
EFM192B,-2.9208187539523753,1.013
EFM192B,-2.431798275933005,0.928
EFM192B,-1.958607314841775,1.122
EFM192B,-1.4685210829577449,0.542
EFM192B,-1.0,0.374
EFM192B,-0.5228787452803376,0.083
EFM192B,-3.853871964321762,1.07
EFM192B,-3.3979400086720375,0.982
EFM192B,-2.9208187539523753,0.926
EFM192B,-2.431798275933005,0.999
EFM192B,-1.958607314841775,1.068
EFM192B,-1.4685210829577449,0.576
EFM192B,-1.0,0.587
EFM192B,-0.5228787452803376,0.09
EFM192B,-3.853871964321762,0.996
EFM192B,-3.3979400086720375,1.05
EFM192B,-2.9208187539523753,0.883
EFM192B,-2.431798275933005,1.06
EFM192B,-1.958607314841775,1.012
EFM192B,-1.4685210829577449,0.652
EFM192B,-1.0,0.304
EFM192B,-0.5228787452803376,0.097
EFM192B,-3.853871964321762,1.042
EFM192B,-3.3979400086720375,1.143
EFM192B,-2.9208187539523753,1.118
EFM192B,-2.431798275933005,1.092
EFM192B,-1.958607314841775,0.905
EFM192B,-1.4685210829577449,0.622
EFM192B,-1.0,0.262
EFM192B,-0.5228787452803376,0.075
EFM192B,-3.853871964321762,0.979
EFM192B,-3.3979400086720375,1.037
EFM192B,-2.9208187539523753,0.959
EFM192B,-2.431798275933005,1.075
EFM192B,-1.958607314841775,0.814
EFM192B,-1.4685210829577449,0.619
EFM192B,-1.0,0.124
EFM192B,-0.5228787452803376,0.152
EFM192B,-3.853871964321762,1.108
EFM192B,-3.3979400086720375,1.078
EFM192B,-2.9208187539523753,1.066
EFM192B,-2.431798275933005,1.165
EFM192B,-1.958607314841775,0.756
EFM192B,-1.4685210829577449,0.611
EFM192B,-1.0,0.169
EFM192B,-0.5228787452803376,0.113
ES2,-3.853871964321762,1.02
ES2,-3.3979400086720375,0.783
ES2,-2.9208187539523753,1.071
ES2,-2.431798275933005,0.754
ES2,-1.958607314841775,1.03
ES2,-1.4685210829577449,0.663
ES2,-1.0,0.359
ES2,-0.5228787452803376,0.114
ES2,-3.853871964321762,1.007
ES2,-3.3979400086720375,0.798
ES2,-2.9208187539523753,1.035
ES2,-2.431798275933005,0.752
ES2,-1.958607314841775,1.029
ES2,-1.4685210829577449,0.696
ES2,-1.0,0.349
ES2,-0.5228787452803376,0.119
ES2,-3.853871964321762,0.788
ES2,-3.3979400086720375,1.062
ES2,-2.9208187539523753,0.776
ES2,-2.431798275933005,1.054
ES2,-1.958607314841775,1.062
ES2,-1.4685210829577449,0.636
ES2,-1.0,0.303
ES2,-0.5228787452803376,0.057
ES2,-3.853871964321762,0.76
ES2,-3.3979400086720375,1.083
ES2,-2.9208187539523753,0.789
ES2,-2.431798275933005,1.085
ES2,-1.958607314841775,0.993
ES2,-1.4685210829577449,0.622
ES2,-1.0,0.321
ES2,-0.5228787452803376,0.063
ES2,-3.853871964321762,0.979
ES2,-3.3979400086720375,0.998
ES2,-2.9208187539523753,1.012
ES2,-2.431798275933005,1.021
ES2,-1.958607314841775,0.956
ES2,-1.4685210829577449,0.625
ES2,-1.0,0.206
ES2,-0.5228787452803376,0.116
ES2,-3.853871964321762,1.045
ES2,-3.3979400086720375,1.067
ES2,-2.9208187539523753,1.102
ES2,-2.431798275933005,1.096
ES2,-1.958607314841775,0.764
ES2,-1.4685210829577449,0.604
ES2,-1.0,0.247
ES2,-0.5228787452803376,0.162
HCT116,-3.853871964321762,0.908
HCT116,-3.3979400086720375,0.891
HCT116,-2.9208187539523753,1.004
HCT116,-2.431798275933005,0.987
HCT116,-1.958607314841775,1.039
HCT116,-1.4685210829577449,0.593
HCT116,-1.0,0.352
HCT116,-0.5228787452803376,0.049
HCT116,-3.853871964321762,0.965
HCT116,-3.3979400086720375,0.945
HCT116,-2.9208187539523753,1.004
HCT116,-2.431798275933005,0.912
HCT116,-1.958607314841775,1.125
HCT116,-1.4685210829577449,0.657
HCT116,-1.0,0.295
HCT116,-0.5228787452803376,0.025
HCT116,-3.853871964321762,0.962
HCT116,-3.3979400086720375,0.886
HCT116,-2.9208187539523753,1.082
HCT116,-2.431798275933005,0.9
HCT116,-1.958607314841775,0.987
HCT116,-1.4685210829577449,0.428
HCT116,-1.0,0.342
HCT116,-0.5228787452803376,0.044
HCT116,-3.853871964321762,1.011
HCT116,-3.3979400086720375,0.966
HCT116,-2.9208187539523753,1.01
HCT116,-2.431798275933005,0.94
HCT116,-1.958607314841775,0.952
HCT116,-1.4685210829577449,0.573
HCT116,-1.0,0.362
HCT116,-0.5228787452803376,0.037
HCT116,-3.853871964321762,1.026
HCT116,-3.3979400086720375,1.08
HCT116,-2.9208187539523753,1.032
HCT116,-2.431798275933005,1.034
HCT116,-1.958607314841775,0.988
HCT116,-1.4685210829577449,0.565
HCT116,-1.0,0.258
